citation_date_raw,author_nick_names,tweets,retweets,followers,followers_max
1422808212,bgca_clubs,1,9,24328.0,24328.0
1422808352,hartfordcon,1,1,951.0,951.0
1422808408,zislam6,1,1,34.0,34.0
1422808474,hesslerstudios,1,2,105.0,105.0
1422808497,iheartdigi,1,1,827.0,827.0
1422808577,enjoyouride,1,3,967.0,967.0
1422808754,suntimesmil,1,1,292.0,292.0
1422808833,delisnflspot,1,1,2852.0,2852.0
1422809194,denverbroncos1v,1,1,805.0,805.0
1422809194,sf49ersfans1,1,1,3344.0,3344.0
1422809283,thefirstdown,1,1,96.0,96.0
1422809455,bearsfantalk,1,1,729.0,729.0
1422809614,track_patriots,1,1,2097.0,2097.0
1422809744,mykycat,1,1,77.0,77.0
1422808202,windsbeachclub,1,1,1140.0,1140.0
1422808206,hkeel,1,1,40.0,40.0
1422808213,causetown,1,2,940.0,940.0
1422808238,pakatreasures,1,1,3.0,3.0
1422808258,nflmx,1,23,130763.0,130763.0
1422808260,lacroixhill1,1,2,270.0,270.0
1422808313,trvnvincent,1,2,235.0,235.0
1422808336,xabastien,1,63,575.0,575.0
1422808358,thedevonshow,1,3,897.0,897.0
1422808474,westchestermag,1,2,15352.0,15352.0
1422808479,kingty773,1,1,385.0,385.0
1422808483,gcourtin,1,1,1602.0,1602.0
1422808485,onegirlswomen,1,2,3304.0,3304.0
1422808488,elliottxmb,1,2,394.0,394.0
1422808494,tomstac,1,1,106.0,106.0
1422808521,norsktippingas,1,2,3671.0,3671.0
1422808558,dogsducksaliens,1,5,532.0,532.0
1422808624,discoveramerica,1,2,19207.0,19207.0
1422808641,poshdrew,1,1,2857.0,2857.0
1422808656,giteshpandya,1,4,11212.0,11212.0
1422808669,zzz_news,1,1,79.0,79.0
1422808669,barryisthedon,1,1,869.0,869.0
1422808703,beeskneessupply,1,2,2273.0,2273.0
1422808752,ultramadonna,1,1,1008.0,1008.0
1422808765,taniaruffles,1,1,83.0,83.0
1422808769,silberscreen,1,1,8333.0,8333.0
1422808779,cha_door,1,1,1162.0,1162.0
1422808783,tazneecarmona,1,1,263.0,263.0
1422808794,janlrh,1,1,177.0,177.0
1422808797,quererespadecer,1,1,16.0,16.0
1422808797,cgill160,1,1,158.0,158.0
1422808804,ilanivic,1,1,1066.0,1066.0
1422808812,620ckrm,1,1,1594.0,1594.0
1422808815,tvlc2015,1,2,135.0,135.0
1422808851,katiehenry,1,1,410.0,410.0
1422808854,vhlopez1120,1,2,353.0,353.0
1422808877,draftwhisperer,1,4,512.0,512.0
1422808904,peterheneghan,1,1,1025.0,1025.0
1422808907,murphfrommidway,1,1,212.0,212.0
1422808910,kgun9,1,2,17793.0,17793.0
1422808944,mistralkdawn,1,19,11990.0,11990.0
1422808952,qwaiderplanet,1,1,6228.0,6228.0
1422808973,xzg24,1,1,19.0,19.0
1422808982,billytalent4eva,1,1,268.0,268.0
1422808988,georgeggreenlee,1,1,51.0,51.0
1422808998,mercedesjhearts,1,2,157.0,157.0
1422809028,nolanfunk,1,12,156399.0,156399.0
1422809051,bestevanhetweb,1,3,19919.0,19919.0
1422809062,tomasamiami,1,1,448.0,448.0
1422809069,chrisb8s,1,1,158.0,158.0
1422809071,juanrobertovs,1,1,297.0,297.0
1422809074,lyssealist,1,1,343.0,343.0
1422809090,meezcuisine,1,2,470.0,470.0
1422809112,azsuperbowl,1,2,15195.0,15195.0
1422809112,theupsstore5918,1,1,59.0,59.0
1422809122,bobwarren,1,1,255489.0,255489.0
1422809123,sciencecenters,1,2,4058.0,4058.0
1422809128,nyulunabotics,1,1,21.0,21.0
1422809128,uppastryplate,1,1,4696.0,4696.0
1422809130,cablelinkinc,1,1,15.0,15.0
1422809144,empowrevival,1,1,77.0,77.0
1422809158,lhovatter,1,1,80.0,80.0
1422809260,mycoopfood,1,2,15106.0,15106.0
1422809287,jerzimom,1,1,329.0,329.0
1422809300,jonodiener,1,6,10023.0,10023.0
1422809301,allangarcia11,1,1,580.0,580.0
1422809334,mreese06,1,5,113104.0,113104.0
1422809343,iss_research,1,12,188040.0,188040.0
1422809346,mreese06,1,3,113104.0,113104.0
1422809346,elfinanciero_mx,1,6,397775.0,397775.0
1422809363,franjmartinez,1,4,918.0,918.0
1422809371,geekupgroup,1,1,100.0,100.0
1422809410,cactus_music,1,3,10910.0,10910.0
1422809410,nicholls_wbb,1,2,601.0,601.0
1422809415,monarchtreasure,1,7,2159.0,2159.0
1422809436,sunshineempire,1,1,976.0,976.0
1422809438,bfloucarol,1,1,806.0,806.0
1422809448,jazzyjt41,1,2,11367.0,11367.0
1422809480,kathleensmith49,1,1,166.0,166.0
1422809496,departyqro,1,1,1518.0,1518.0
1422809513,mplasd,1,3,11074.0,11074.0
1422809518,kathleenleonard,1,1,245.0,245.0
1422809519,w00st3r,1,2,1194.0,1194.0
1422809524,amiethehobo,1,1,153.0,153.0
1422809642,cristiancaamano,1,4,15872.0,15872.0
1422809651,keywest_sam,1,10,5369.0,5369.0
1422809661,daddyengum,1,1,121.0,121.0
1422809677,laprimerahora,1,13,13508.0,13508.0
1422809701,mashentertain,1,3,37128.0,37128.0
1422809706,minimalistbaker,1,5,6242.0,6242.0
1422809711,ofepblog,1,1,42.0,42.0
1422809783,asifpremji,1,1,1682.0,1682.0
1422809791,caitlynaitken,1,4,420.0,420.0
1422809801,snood,1,2,936.0,936.0
1422809817,therealianl,1,1,48.0,48.0
1422809829,nbcdfw,1,3,120922.0,120922.0
1422809854,jewishtweets,1,3,51803.0,51803.0
1422809860,asuchak16,1,6,916.0,916.0
1422809871,mysterywriter7,1,1,2662.0,2662.0
1422809881,fhcspartansb,1,4,108.0,108.0
1422809900,sophiadandois,1,2,487.0,487.0
1422809906,jbsfatboy,1,1,1377.0,1377.0
1422809907,aparanjape,1,7,12433.0,12433.0
1422809922,asiaticoh,1,2,21.0,21.0
1422809927,steve_bertholle,1,2,65.0,65.0
1422809937,erben,1,2,3998.0,3998.0
1422809941,r_sidney_v,1,2,140435.0,140435.0
1422809988,kazman_18,1,2,93.0,93.0
1422809990,p66ugh,1,1,28.0,28.0
1422808206,azsuperbowl,1,10,15195.0,15195.0
1422808326,garystratton,1,1,107.0,107.0
1422808452,alcaldiaduran,1,10,2254.0,2254.0
1422808499,harvardhbx,1,7,812.0,812.0
1422808739,pulling50,1,1,61.0,61.0
1422808837,phxdailynews,1,1,1477.0,1477.0
1422808888,croissantitc,1,1,1267.0,1267.0
1422809228,johnellis24,1,3,2017.0,2017.0
1422809233,imdanimkatycat,1,6,173.0,173.0
1422809262,mareeiss,1,1,307.0,307.0
1422809342,cityofphoenixaz,1,1,6761.0,6761.0
1422809375,tombiee,1,1,32.0,32.0
1422809401,northwesternu,1,2,26371.0,26371.0
1422809401,xavobarona,1,4,1461.0,1461.0
1422809434,q13fox,1,2,50563.0,50563.0
1422809442,brodysteeze,1,2,164.0,164.0
1422809450,q13_michael,1,2,1076.0,1076.0
1422809464,farrisflagg,1,1,469.0,469.0
1422809482,makeawish,1,31,180943.0,180943.0
1422809598,micah360,1,1,489.0,489.0
1422809599,chiller613,1,1,10.0,10.0
1422809630,coloradomom,1,2,13830.0,13830.0
1422809692,alberto_daniel7,1,1,88.0,88.0
1422809727,itslillianaa,1,2,419.0,419.0
1422809803,asdebrillos,1,3,66.0,66.0
1422809803,alexand3rzapata,1,1,34197.0,34197.0
1422809911,leviswaim,1,2,246.0,246.0
1422809949,harryshumjr,1,19,1019357.0,1019357.0
1422809955,danggnicoleeeee,1,2,355.0,355.0
